actual,prediction
50000000.00000009,43858191.452114835
39990000.00000003,41486176.6758187
11269999.999999983,10602591.583387677
11950000.000000011,10680983.541652452
52999999.99999999,99320881.15401636
12694524.000000019,12208734.832062427
9800000.000000007,9151451.794923073
13598000.000000019,12439138.930913622
8499000.000000002,8972222.449712947
21187199.99999998,21789264.465498667
9500000.000000015,9471861.610511808
5617899.999999998,6030107.325393339
11490000.000000013,10960867.835472558
8505270.0,8402820.904133355
7500000.000000002,7166969.172927133
6997739.999999999,7743684.622807251
7506249.9999999935,7239796.357635012
11266140.000000011,10989620.344843298
13100000.000000015,13221805.577351106
10667346.000000013,11651342.379430888
6232670.000000001,6377981.13476523
8699999.999999994,9077685.693464676
22771499.999999974,23636905.977565464
8187200.000000005,8568477.620891772
6040000.000000001,6059852.458720375
8000000.000000002,8033904.480330538
14499999.99999999,13093582.754031178
43900000.0,42428570.43898987
6703059.999999998,6764889.428279085
23290369.999999974,22740461.229099963
18500000.000000034,12501889.396132605
5400000.000000005,5854040.981296061
6943777.000000002,7158128.726254113
23703624.00000004,23647781.84038636
9500000.000000015,10554242.48841307
44999999.999999985,46410880.323189326
4894418.000000001,4892758.112443978
18500000.000000034,18433977.15258263
5750000.000000005,5968291.6296711955
4752279.999999999,5105583.141304528
12899999.999999998,18546421.03662586
12200000.000000017,13089661.482487647
7319999.999999996,7161316.623163709
8289999.999999997,9173938.81608459
43000000.000000015,38205046.237788595
17409167.999999993,15620619.916672524
50000000.00000009,30169658.970991224
5650000.000000001,5812086.84760481
6990000.000000002,6817521.670595738
7245520.000000002,7627667.089275914
15047798.99999998,16400369.793201834
12799999.99999998,12956362.166351277
69900000.00000009,74026729.2005072
20299000.000000007,28500315.892916296
5199000.000000003,4919453.185109095
9690000.000000004,8654122.240473615
20596949.999999978,21178320.496170633
12076400.00000001,11859743.337178458
145000000.00000003,162848473.89929476
29990000.000000037,40152461.4559988
4574037.000000002,4464892.300571386
7449677.000000002,7602226.989000237
14385420.000000015,14720241.802280355
9649999.999999989,8749904.185354088
6390000.0,6306610.776662717
7315000.000000004,7930950.62043555
39900000.00000004,38832792.768964075
2566000.0000000005,2718084.787115434
10350000.000000004,8260115.778422515
18403029.999999996,18324386.941076845
5230546.999999995,5168182.599860815
17349999.99999998,19464482.072999347
6244900.000000006,6066971.807343525
6899999.999999999,7549269.606601809
12968416.999999987,13072169.066987336
128874999.99999987,84658039.96092027
17827700.000000022,18168949.387632057
18867464.0,18372710.34855891
8800000.000000006,10197829.546065642
11577199.999999983,10273871.0821147
6499999.999999999,6990268.80671153
9512500.000000013,9579694.588775795
10899999.999999993,12826311.03749753
6400000.000000001,5746394.943794984
14399775.999999981,15192740.258355226
5893152.999999998,5826049.163258563
7490000.0000000065,6909150.858329604
8018899.9999999935,8608651.016268263
9800000.000000007,10202184.682342054
74890000.00000006,71083781.47017257
24280715.000000026,24280714.999999423
11299999.99999999,10901927.814034617
6749999.999999997,6297892.989084786
4900000.000000004,4989235.4712561285
17199999.99999998,16072118.74490457
11403000.0,11728026.48431919
30000000.00000005,28690608.209460557
7440399.999999997,7597914.073473394
7300000.000000004,8241884.780229002
7100000.000000005,7227853.997061954
6354279.999999999,6350279.840551019
11800000.000000013,8674791.184277829
8723160.000000004,8665910.122255124
5800000.0,5811511.431778879
55989999.000000045,51524980.95138214
10577875.000000015,10894547.73413469
5599999.999999999,5584655.672126324
6690000.000000005,7733890.52435862
16328617.999999998,17401377.55618126
10139465.000000004,10286670.691837167
22799999.999999996,21755927.90312727
8199999.999999994,8392707.45663634
5500000.000000001,6278555.6400674395
14559085.99999998,14573049.779653527
17311260.999999993,17531690.593128644
94999999.99999987,87042994.05757473
7882924.999999998,7620365.81029675
12600000.000000015,10999582.118158335
4300000.000000002,4058048.4992062096
111430260.00000018,89002935.88649318
7900000.000000005,8843114.16650155
7300000.000000004,8064903.782170915
9400000.000000015,9873427.68123673
9500000.000000015,9598190.604680829
42000000.00000003,44839774.04431341
13192628.999999994,14355047.422755297
36727000.00000006,38703438.152551465
26999999.999999993,15831087.843061758
72000000.00000012,50879113.370159976
8899999.999999996,9038857.463610718
14200000.000000004,14250118.023537355
11500000.000000019,12994273.6295716
6249000.000000002,6306479.88076558
145000000.00000003,115330932.29351069
8077199.9999999935,8474020.487235567
5300000.000000001,6096339.805926551
20999999.99999998,21121386.52212832
11590000.000000004,6950881.080137156
5349999.999999998,5729638.698428727
6849999.999999996,7286270.857054343
13000000.000000013,10698009.847191948
9900000.000000013,9390444.784320856
