iter	Passed	Remaining
0	8	73397
1	12	52108
2	16	44457
3	19	40775
4	23	38647
5	27	37384
6	31	36387
7	34	35564
8	38	35020
9	42	34721
10	46	34468
11	50	34149
12	53	33768
13	57	33401
14	60	33147
15	64	33006
16	68	32825
17	72	32719
18	75	32502
19	79	32375
20	82	32208
21	86	32045
22	89	31936
23	93	31816
24	97	31758
25	100	31648
26	104	31528
27	107	31428
28	111	31452
29	115	31405
30	119	31392
31	122	31354
32	126	31341
33	130	31247
34	133	31153
35	137	31074
36	140	31019
37	144	30966
38	148	30956
39	151	30946
40	155	30932
41	159	30942
42	163	30904
43	166	30861
44	170	30812
45	173	30777
46	177	30710
47	180	30655
48	184	30675
49	188	30718
50	192	30709
51	195	30675
52	199	30691
53	203	30691
54	207	30658
55	210	30620
56	214	30597
57	218	30584
58	221	30530
59	225	30542
60	229	30526
61	232	30504
62	236	30473
63	239	30451
64	243	30485
65	247	30470
66	251	30449
67	254	30445
68	258	30433
69	262	30432
70	266	30458
71	270	30450
72	273	30420
73	277	30393
74	280	30361
75	284	30340
76	287	30308
77	291	30281
78	294	30240
79	297	30186
80	301	30187
81	305	30173
82	308	30150
83	312	30130
84	315	30097
85	319	30070
86	322	30047
87	325	30001
88	329	29975
89	332	29936
90	335	29907
91	339	29889
92	343	29873
93	346	29832
94	349	29793
95	352	29751
96	356	29723
97	359	29692
98	362	29666
99	366	29641
100	369	29632
101	373	29614
102	376	29593
103	380	29595
104	384	29579
105	387	29561
106	391	29552
107	394	29542
108	398	29543
109	401	29523
110	405	29502
111	408	29497
112	412	29481
113	416	29492
114	420	29500
115	423	29506
116	427	29482
117	430	29486
118	434	29462
119	437	29456
120	441	29446
121	445	29438
122	448	29423
123	452	29419
124	456	29439
125	459	29443
126	463	29453
127	467	29443
128	470	29432
129	474	29415
130	477	29400
131	481	29386
132	484	29379
133	488	29380
134	492	29398
135	496	29403
136	500	29410
137	504	29416
138	507	29427
139	511	29426
140	515	29440
141	519	29429
142	522	29435
143	526	29432
144	530	29419
145	533	29428
146	537	29441
147	541	29435
148	545	29422
149	548	29419
150	552	29423
151	555	29408
152	559	29389
153	562	29368
154	566	29352
155	569	29337
156	573	29329
157	576	29323
158	580	29313
159	583	29306
160	587	29284
161	590	29271
162	594	29268
163	597	29259
164	601	29244
165	604	29223
166	608	29217
167	611	29205
168	614	29190
169	618	29176
170	621	29167
171	625	29155
172	628	29138
173	631	29119
174	635	29115
175	638	29101
176	642	29086
177	645	29083
178	653	29259
179	656	29243
180	660	29231
181	663	29219
182	667	29229
183	671	29224
184	675	29221
185	678	29209
186	682	29208
187	685	29205
188	689	29188
189	692	29181
190	696	29178
191	699	29163
192	703	29149
193	706	29128
194	710	29122
195	713	29115
196	717	29101
197	720	29091
198	724	29093
199	727	29089
200	731	29075
201	734	29057
202	738	29046
203	741	29031
204	744	29016
205	748	29001
206	751	28985
207	754	28976
208	758	28965
209	761	28957
210	765	28948
211	768	28934
212	772	28922
213	775	28915
214	779	28904
215	782	28906
216	786	28898
217	789	28887
218	793	28875
219	796	28873
220	800	28869
221	803	28863
222	807	28844
223	810	28846
224	814	28841
225	818	28836
226	821	28826
227	824	28816
228	828	28799
229	831	28800
230	835	28791
231	838	28780
232	842	28777
233	845	28767
234	849	28758
235	852	28741
236	855	28731
237	859	28727
238	862	28716
239	866	28706
240	869	28702
241	873	28700
242	877	28693
243	880	28692
244	884	28687
245	888	28683
246	891	28674
247	895	28673
248	898	28671
249	902	28666
250	906	28668
251	910	28677
252	913	28669
253	917	28665
254	920	28657
255	925	28679
256	928	28674
257	932	28669
258	935	28658
259	939	28654
260	942	28650
261	946	28650
262	950	28655
263	954	28653
264	958	28662
265	961	28654
266	965	28657
267	968	28648
268	972	28640
269	976	28641
270	980	28644
271	983	28639
272	987	28631
273	990	28627
274	994	28627
275	997	28616
276	1001	28606
277	1004	28593
278	1007	28586
279	1011	28580
280	1014	28568
281	1018	28559
282	1021	28551
283	1025	28547
284	1028	28538
285	1031	28525
286	1035	28515
287	1038	28506
288	1042	28497
289	1045	28485
290	1048	28480
291	1052	28472
292	1055	28462
293	1059	28452
294	1062	28442
295	1066	28443
296	1069	28435
297	1073	28428
298	1076	28421
299	1079	28408
300	1083	28398
301	1086	28385
302	1089	28376
303	1093	28372
304	1097	28367
305	1100	28358
306	1103	28350
307	1107	28344
308	1110	28337
309	1114	28330
310	1117	28322
311	1121	28319
312	1124	28314
313	1128	28303
314	1131	28290
315	1134	28279
316	1138	28271
317	1141	28264
318	1145	28259
319	1148	28253
320	1151	28241
321	1155	28233
322	1158	28223
323	1161	28217
324	1165	28213
325	1168	28205
326	1172	28203
327	1176	28198
328	1179	28189
329	1182	28183
330	1186	28177
331	1189	28169
332	1193	28165
333	1196	28157
334	1200	28148
335	1203	28149
336	1207	28145
337	1210	28138
338	1214	28134
339	1217	28124
340	1221	28112
341	1224	28102
342	1227	28091
343	1231	28087
344	1234	28078
345	1237	28072
346	1241	28068
347	1244	28062
348	1248	28053
349	1251	28050
350	1255	28041
351	1258	28035
352	1262	28027
353	1265	28027
354	1269	28022
355	1272	28017
356	1290	28311
357	1293	28301
358	1296	28292
359	1300	28284
360	1303	28282
361	1307	28277
362	1310	28272
363	1314	28267
364	1318	28263
365	1321	28256
366	1324	28250
367	1328	28246
368	1332	28239
369	1335	28234
370	1339	28230
371	1342	28223
372	1346	28229
373	1350	28230
374	1354	28227
375	1357	28224
376	1361	28225
377	1365	28226
378	1368	28220
379	1372	28218
380	1376	28213
381	1379	28206
382	1383	28201
383	1386	28195
384	1390	28196
385	1394	28190
386	1397	28185
387	1401	28180
388	1404	28175
389	1407	28166
390	1411	28159
391	1415	28157
392	1418	28155
393	1422	28154
394	1426	28152
395	1429	28150
396	1433	28145
397	1436	28138
398	1440	28132
399	1443	28128
400	1447	28123
401	1450	28116
402	1454	28116
403	1458	28120
404	1462	28120
405	1466	28120
406	1469	28113
407	1473	28112
408	1477	28118
409	1481	28119
410	1485	28125
411	1489	28133
412	1493	28137
413	1497	28136
414	1501	28131
415	1504	28128
416	1508	28122
417	1511	28114
418	1515	28110
419	1518	28107
420	1522	28105
421	1526	28100
422	1529	28092
423	1533	28086
424	1536	28079
425	1539	28073
426	1543	28068
427	1547	28063
428	1551	28068
429	1554	28066
430	1558	28068
431	1563	28090
432	1568	28114
433	1573	28129
434	1577	28138
435	1581	28141
436	1586	28151
437	1590	28154
438	1594	28153
439	1598	28157
440	1602	28162
441	1606	28167
442	1611	28181
443	1614	28181
444	1619	28192
445	1624	28206
446	1628	28217
447	1632	28226
448	1637	28239
449	1641	28237
450	1645	28243
451	1649	28244
452	1653	28242
453	1656	28241
454	1661	28244
455	1665	28248
456	1668	28246
457	1672	28244
458	1676	28243
459	1680	28244
460	1684	28251
461	1688	28253
462	1692	28254
463	1696	28263
464	1701	28268
465	1704	28266
466	1708	28267
467	1712	28270
468	1716	28266
469	1720	28273
470	1724	28269
471	1728	28275
472	1732	28276
473	1736	28277
474	1740	28279
475	1744	28277
476	1748	28277
477	1752	28279
478	1756	28277
479	1760	28277
480	1763	28275
481	1767	28277
482	1771	28272
483	1774	28266
484	1778	28260
485	1782	28256
486	1785	28252
487	1789	28249
488	1793	28247
489	1796	28241
490	1800	28236
491	1803	28230
492	1807	28227
493	1810	28220
494	1814	28214
495	1817	28207
496	1821	28200
497	1824	28193
498	1828	28188
499	1832	28183
500	1835	28180
501	1839	28177
502	1842	28171
503	1846	28169
504	1850	28168
505	1854	28167
506	1858	28167
507	1861	28163
508	1865	28161
509	1869	28160
510	1873	28159
511	1877	28159
512	1881	28158
513	1884	28154
514	1888	28150
515	1893	28162
516	1896	28160
517	1901	28165
518	1905	28165
519	1908	28163
520	1912	28161
521	1916	28165
522	1920	28166
523	1924	28164
524	1928	28164
525	1932	28165
526	1936	28165
527	1940	28171
528	1945	28175
529	1948	28173
530	1952	28174
531	1956	28174
532	1961	28180
533	1965	28180
534	1968	28179
535	1972	28178
536	1977	28187
537	1981	28186
538	1985	28189
539	1989	28191
540	1993	28190
541	1996	28185
542	2000	28180
543	2004	28174
544	2008	28176
545	2012	28179
546	2016	28176
547	2019	28170
548	2023	28168
549	2026	28161
550	2030	28156
551	2033	28148
552	2037	28143
553	2041	28141
554	2044	28137
555	2048	28137
556	2052	28137
557	2056	28130
558	2059	28121
559	2062	28113
560	2066	28103
561	2069	28096
562	2073	28091
563	2076	28087
564	2080	28082
565	2083	28078
566	2087	28074
567	2091	28071
568	2094	28064
569	2098	28062
570	2102	28059
571	2106	28056
572	2109	28049
573	2113	28048
574	2117	28053
575	2122	28060
576	2126	28062
577	2130	28062
578	2134	28064
579	2138	28064
580	2142	28067
581	2147	28083
582	2152	28095
583	2157	28106
584	2161	28107
585	2165	28108
586	2170	28119
587	2174	28119
588	2178	28120
589	2182	28123
590	2186	28126
591	2190	28125
592	2194	28126
593	2198	28124
594	2203	28128
595	2206	28124
596	2210	28122
597	2214	28122
598	2218	28125
599	2222	28118
600	2226	28116
601	2229	28115
602	2233	28114
603	2237	28112
604	2241	28107
605	2245	28105
606	2249	28107
607	2253	28104
608	2257	28103
609	2260	28100
610	2264	28095
611	2268	28097
612	2272	28091
613	2275	28082
614	2278	28075
615	2282	28069
616	2285	28062
617	2289	28055
618	2292	28048
619	2295	28039
620	2299	28033
621	2303	28029
622	2306	28021
623	2309	28015
624	2313	28004
625	2316	27997
626	2320	27995
627	2324	27992
628	2327	27987
629	2331	27981
630	2334	27977
631	2338	27971
632	2341	27965
633	2345	27959
634	2349	27958
635	2352	27952
636	2356	27945
637	2359	27939
638	2363	27936
639	2367	27941
640	2372	27945
641	2376	27946
642	2380	27945
643	2385	27955
644	2389	27961
645	2393	27962
646	2397	27961
647	2401	27963
648	2406	27967
649	2410	27965
650	2415	27975
651	2419	27984
652	2424	27989
653	2428	27993
654	2433	27997
655	2436	27995
656	2441	27998
657	2445	28000
658	2449	28003
659	2454	28008
660	2458	28009
661	2462	28009
662	2466	28009
663	2470	28011
664	2474	28010
665	2478	28011
666	2483	28012
667	2487	28012
668	2491	28019
669	2495	28021
670	2500	28021
671	2504	28022
672	2508	28022
673	2512	28023
674	2516	28023
675	2520	28020
676	2524	28019
677	2528	28017
678	2532	28016
679	2535	28014
680	2540	28023
681	2545	28025
682	2549	28024
683	2553	28025
684	2556	28021
685	2560	28017
686	2564	28013
687	2568	28011
688	2572	28010
689	2576	28010
690	2581	28018
691	2585	28019
692	2589	28025
693	2594	28028
694	2598	28029
695	2602	28027
696	2606	28023
697	2609	28019
698	2613	28017
699	2617	28014
700	2621	28012
701	2625	28016
702	2630	28018
703	2633	28014
704	2638	28016
705	2642	28019
706	2646	28022
707	2650	28019
708	2654	28017
709	2658	28012
710	2661	28005
711	2665	28007
712	2669	28002
713	2672	27994
714	2677	27994
715	2681	27995
716	2684	27991
717	2688	27985
718	2692	27981
719	2695	27975
720	2699	27974
721	2703	27974
722	2707	27974
723	2712	27979
724	2716	27979
725	2721	27982
726	2724	27980
727	2729	27979
728	2733	27981
729	2737	27979
730	2740	27975
731	2745	27975
732	2749	27975
733	2753	27972
734	2756	27967
735	2760	27963
736	2763	27957
737	2767	27951
738	2770	27944
739	2774	27936
740	2777	27929
741	2781	27922
742	2784	27914
743	2787	27909
744	2791	27903
745	2794	27896
746	2798	27890
747	2801	27882
748	2805	27877
749	2808	27871
750	2812	27864
751	2815	27858
752	2819	27851
753	2822	27843
754	2826	27837
755	2829	27829
756	2832	27821
757	2835	27813
758	2839	27809
759	2843	27803
760	2846	27797
761	2850	27793
762	2854	27788
763	2857	27783
764	2861	27777
765	2865	27776
766	2868	27772
767	2872	27767
768	2876	27765
769	2890	27864
770	2894	27861
771	2898	27856
772	2901	27851
773	2906	27853
774	2910	27851
775	2914	27848
776	2918	27847
777	2921	27845
778	2925	27841
779	2930	27843
780	2933	27839
781	2937	27838
782	2942	27838
783	2945	27834
784	2950	27836
785	2954	27836
786	2958	27838
787	2962	27836
788	2966	27833
789	2970	27831
790	2974	27828
791	2978	27826
792	2981	27822
793	2985	27820
794	2989	27814
795	2993	27809
796	2997	27808
797	3000	27806
798	3005	27805
799	3009	27806
800	3013	27802
801	3016	27799
802	3020	27792
803	3023	27782
804	3026	27775
805	3030	27768
806	3034	27764
807	3037	27757
808	3041	27753
809	3044	27747
810	3048	27743
811	3052	27739
812	3055	27735
813	3059	27733
814	3063	27730
815	3067	27726
816	3071	27724
817	3075	27720
818	3079	27718
819	3082	27714
820	3086	27710
821	3090	27707
822	3094	27706
823	3098	27703
824	3102	27701
825	3105	27697
826	3109	27694
827	3113	27692
828	3126	27768
829	3130	27767
830	3134	27764
831	3138	27761
832	3147	27804
833	3153	27822
834	3157	27820
835	3161	27817
836	3165	27813
837	3168	27808
838	3172	27805
839	3176	27804
840	3181	27805
841	3185	27806
842	3189	27806
843	3193	27803
844	3198	27806
845	3201	27802
846	3205	27797
847	3209	27791
848	3213	27793
849	3217	27792
850	3221	27786
851	3225	27783
852	3228	27780
853	3232	27774
854	3236	27773
855	3240	27770
856	3243	27764
857	3247	27756
858	3250	27747
859	3253	27741
860	3256	27731
861	3260	27724
862	3263	27718
863	3267	27714
864	3271	27708
865	3274	27703
866	3278	27701
867	3282	27698
868	3286	27694
869	3290	27690
870	3294	27688
871	3298	27686
872	3302	27684
873	3306	27685
874	3310	27679
875	3313	27675
876	3317	27668
877	3320	27664
878	3324	27659
879	3327	27651
880	3331	27645
881	3335	27640
882	3338	27637
883	3342	27631
884	3345	27626
885	3349	27619
886	3352	27613
887	3356	27609
888	3360	27603
889	3363	27596
890	3366	27589
891	3370	27581
892	3373	27573
893	3377	27569
894	3380	27561
895	3383	27553
896	3387	27545
897	3390	27539
898	3394	27536
899	3397	27530
900	3401	27525
901	3405	27519
902	3408	27512
903	3411	27505
904	3415	27498
905	3419	27498
906	3422	27493
907	3426	27486
